City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,port mathurin,-19.6833,63.4167,22.49,78,39,9.8,MU,1723866972
83,holualoa,19.6228,-155.9522,26.91,76,75,2.57,US,1723866973
84,necochea,-38.5473,-58.7368,5.81,89,77,2.99,AR,1723866975
85,shache,38.4167,77.2406,35.05,13,7,5.12,CN,1723866976
86,och'amch'ire,42.7123,41.4686,21.02,56,0,1.54,GE,1723866977
87,stanley,54.868,-1.6985,11.01,86,75,1.03,GB,1723866979
88,forster,-32.1667,152.5167,21.88,53,21,7.4,AU,1723866980
89,kaa-khem,51.6833,94.7333,29.35,17,75,1.88,RU,1723866981
90,ipubi,-7.6519,-40.1489,18.92,74,6,2.76,BR,1723866983
91,zaozersk,69.4005,32.4476,15.59,90,99,3.06,RU,1723866984
92,coquimbo,-29.9533,-71.3436,11.85,86,20,3.6,CL,1723866985
93,bardai,11.65,7.2333,19.82,96,89,2.72,NG,1723866986
94,port blair,11.6667,92.75,30.02,79,75,3.6,IN,1723866988
95,saint-denis,48.9167,2.3333,21.09,88,100,2.57,FR,1723866989
96,hithadhoo,-0.6,73.0833,28.64,74,63,7.47,MV,1723866990
97,belyy yar,53.6039,91.3903,18.94,88,40,5.0,RU,1723866992
98,tarnogskiy gorodok,60.4997,43.5761,13.53,76,80,1.89,RU,1723866993
99,ayame,5.6083,-3.1563,22.28,91,100,2.73,CI,1723866994
100,wladyslawowo,54.7909,18.4009,19.41,84,73,2.3,PL,1723866996
101,suva,-18.1416,178.4415,25.71,69,75,5.14,FJ,1723866997
102,albany,42.6001,-73.9662,21.86,73,67,0.89,US,1723866998
103,ostashkov,57.1467,33.1075,16.02,85,100,2.59,RU,1723867000
104,el granada,37.5027,-122.4694,17.67,83,0,5.14,US,1723867001
105,ponta delgada,37.7333,-25.6667,23.4,88,20,3.6,PT,1723867002
106,sodra sandby,56.5667,16.6167,17.72,95,63,2.29,SE,1723867004
107,lihue,21.9789,-159.3672,27.77,72,75,6.17,US,1723867005
108,blackmans bay,-43.0167,147.3167,9.29,96,100,0.45,AU,1723867006
109,hamilton,39.1834,-84.5333,24.32,93,0,0.45,US,1723867007
110,lamont,35.2597,-118.9143,30.15,18,0,1.3,US,1723867009
111,masterton,-40.9597,175.6575,13.71,82,100,2.9,NZ,1723867011
112,sabang,5.8933,95.3214,28.0,72,100,2.21,ID,1723867013
113,fale old settlement,-9.3852,-171.2468,27.92,76,0,9.94,TK,1723867014
114,glencoe,-28.1783,30.147,8.33,15,4,1.92,ZA,1723867015
115,qamdo,31.1667,97.2333,13.61,41,6,1.88,CN,1723867016
116,namibe,-15.1961,12.1522,14.44,92,22,3.22,AO,1723867021
117,tacuarembo,-31.7333,-55.9833,10.45,78,100,5.09,UY,1723867022
118,phan rang-thap cham,11.5667,108.9833,35.21,45,100,5.1,VN,1723867023
119,carnarvon,-24.8667,113.6333,20.94,66,55,10.54,AU,1723867025
120,arraial do cabo,-22.9661,-42.0278,21.61,91,0,9.46,BR,1723867026
121,fisterra,42.9049,-9.2629,19.2,99,89,3.37,ES,1723867027
122,tvoroyri,61.5556,-6.8111,11.15,89,54,12.97,FO,1723867029
123,vorgashor,67.5833,63.95,15.09,78,89,4.73,RU,1723867030
124,conde,-7.2597,-34.9075,20.7,88,20,2.57,BR,1723867031
125,huangshan,29.7114,118.3125,34.93,48,11,1.91,CN,1723867035
126,nemuro,43.3236,145.575,15.75,94,100,5.59,JP,1723867037
127,rio grande,-32.035,-52.0986,12.62,85,100,2.84,BR,1723867038
128,east london,-33.0153,27.9116,15.52,33,0,1.54,ZA,1723867039
129,ismailia,30.6043,32.2723,23.88,91,1,2.95,EG,1723867041
130,dilling,12.05,29.65,21.81,93,99,4.8,SD,1723867042
131,al jawf,29.5,38.75,24.89,48,0,3.1,SA,1723867043
132,st. john's,47.5649,-52.7093,16.65,87,75,6.17,CA,1723867045
133,barakani,-12.1356,44.4317,24.71,74,22,7.69,KM,1723867046
134,ed damer,17.5928,33.9592,28.94,64,11,5.71,SD,1723867047
135,the pas,53.8251,-101.2541,15.01,77,0,0.0,CA,1723867049
136,shenjiamen,29.9576,122.298,30.0,68,0,2.95,CN,1723867050
137,sao felix do xingu,-6.6447,-51.995,22.47,41,0,0.27,BR,1723867051
138,ilulissat,69.2167,-51.1,-1.91,97,82,1.2,GL,1723867052
139,xining,36.6167,101.7667,19.48,44,24,1.34,CN,1723867054
140,callao,-12.0667,-77.15,16.34,77,100,3.6,PE,1723867055
141,bubaque,11.2833,-15.8333,26.37,85,100,8.96,GW,1723867056
142,villa gesell,-37.2639,-56.973,9.08,84,80,6.26,AR,1723867058
143,kingston,17.997,-76.7936,29.53,79,20,5.66,JM,1723867059
144,sao vicente,-23.9631,-46.3919,21.85,57,0,1.69,BR,1723867060
145,talnakh,69.4865,88.3972,18.68,53,100,1.25,RU,1723867063
146,karratha,-20.7377,116.8463,25.94,47,0,6.63,AU,1723867065
147,hanzhong,33.0728,107.0303,28.95,65,81,0.83,CN,1723867067
148,barra do corda,-5.5,-45.25,20.34,40,6,0.84,BR,1723867069
149,rehburg-loccum,52.4667,9.2,20.01,95,75,1.54,DE,1723867070
150,margate,51.3813,1.3862,13.72,92,1,3.69,GB,1723867071
151,isangel,-19.55,169.2667,27.06,65,40,1.54,VU,1723867072
152,dawei,14.0833,98.2,28.11,79,100,0.24,MM,1723867074
153,ulladulla,-35.35,150.4667,18.72,42,3,7.51,AU,1723867075
154,salekhard,66.53,66.6019,14.51,86,83,5.44,RU,1723867076
